Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
69	Safety, Immunogenicity and Efficacy of R21 Matrix-M in 5-17 Month Old Children in Nanoro, Burkina Faso	Recruiting	No Results Available	Malaria,Falciparum	Biological: R21 adjuvanted with 25mcg Matrix-M|Biological: Rabies Vaccine|Biological: R21 adjuvanted with 50mcg Matrix-M	Institut de Recherche en Sciences de la Sante - Clinical Research Unit of Nanoro (IRSS-URCN), Nanoro, Burkina Faso	https://ClinicalTrials.gov/show/NCT03896724
70	Bridging Trial to Evaluate the Infectivity Equivalence of Current and New Lots of Plasmodium Falciparum Strain 3D7 Within the WRAIR Controlled Human Malaria Infection (CHMI) Model	Active, not recruiting	No Results Available	Malaria,Falciparum	Biological: Plasmodium falciparum malaria parasite	Walter Reed Army Institute of Research, Silver Spring, Maryland, United States	https://ClinicalTrials.gov/show/NCT03882528
71	To Assess the Safety, Immunogenicity and Efficacy of VLPM01 in Healthy, Malaria-Naïve Volunteers	Recruiting	No Results Available	Malaria,Falciparum	Biological: 5 microgram VLPM01|Biological: 15 microgram VLPM01|Biological: 30 microgram VLPM01|Other: Plasmodium falciparum challenge	Walter Reed Army Institute of Research, Bethesda, Maryland, United States	https://ClinicalTrials.gov/show/NCT03867331
72	Pyramax in Asymptomatic Carriers of P. Falciparum Monoinfections	Active, not recruiting	No Results Available	Malaria,Falciparum	Drug: Pyronaridine tetraphosphate 180mg:artesunate 60mg	MRC Unit The Gambia at the London School of Hygiene and Tropical Medicine,, Fajara,, Banjul,, Gambia|Tropical Diseases Research Centre, Ndola, Zambia	https://ClinicalTrials.gov/show/NCT03814616
73	RBx11160 Phase II Dose Ranging Study RBx/MMV05-06	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Treatment with 3 dose groups of RBx11160 over 7 days	Field Station Malaria Reseach Centre (Indian Council of Medical Research), Rourkela, Orissa, India|Public Health Care Center, Kivunge, Zanzibar, Tanzania|District Hospital Bagamayo, Dar es Salaam, Tanzania|Faculty of Tropical Medicine, 420/6 Rajavithee Road, Bangkok, Thailand	https://ClinicalTrials.gov/show/NCT00362050
74	A Study to Determine if a New Malaria Vaccine is Safe and Induces Immunity Among Kenyan Adults, Young Children and Infants	Recruiting	No Results Available	Malaria,Falciparum	Biological: R21 in Matrix- M adjuvant vaccine	KEMRI/Wellcome Trust Programme, Centre for Geographic Medicine Research - Coast, Kilifi, Kenya	https://ClinicalTrials.gov/show/NCT03580824
75	Azithromycin in Combination With Chloroquine Versus Chloroquine in the Eradication of Asymptomatic Plasmodium Falciparum	Terminated	No Results Available	Malaria, Falciparum	Drug: Azithromycin/Chloroquine|Drug: Chloroquine		https://ClinicalTrials.gov/show/NCT00082563
76	Cohort Event Monitoring Study of Pyramax®	Completed	No Results Available	Malaria,Falciparum	Drug: pyronaridine artesunate	The Biotechnology Center Nkolbisson, Univ of Yaounde I, Messa, Yaoundé, Cameroon|Centre de Recherche du Centre Hospitalier du Mont Amba, Kinshasa, Congo, The Democratic Republic of the|Centre de Santé FCRM, Hospital of Talangai, Brazzaville, Congo|Institut Pierre Richet / Institut National de SanPublique (IPR/INSP), Bouaké, Côte D'Ivoire|CERMEL, Albert Schweitzer Hospital, Lambaréné, Gabon	https://ClinicalTrials.gov/show/NCT03201770
77	Chemoprotective Activity of MMV390048 in PfSPZ Challenge Model	Withdrawn	No Results Available	Malaria,Falciparum	Drug: MMV390048	Institute of Tropical Medicine / Centre for Clinical Trials, Eberhard Karls University, Tübingen, Germany	https://ClinicalTrials.gov/show/NCT03195387
78	Artemisinin Resistance in Cambodia	Completed	No Results Available	Malaria, Falciparum	Drug: Artesunate	Tasanh Health Center, Tasanh, Batambang, Cambodia	https://ClinicalTrials.gov/show/NCT00479206
79	Evaluation of Community-based Mass Screening and Treatment for Malaria in Western Kenya	Completed	No Results Available	Malaria,Falciparum	Drug: Dihydroartemisinin-piperaquine		https://ClinicalTrials.gov/show/NCT02987270
80	A Microdose Study in Healthy Subjects to Describe Intravenous Pharmacokinetics of GSK3191607	Completed	No Results Available	Malaria, Falciparum	Drug: [14C]-GSK3191607	GSK Investigational Site, London, United Kingdom	https://ClinicalTrials.gov/show/NCT02737007
81	Safety and Immunogenicity of Recombinant Pichia Pastoris AMA1-DiCo Candidate Malaria Vaccine With GLA-SE and Alhydrogel ® as Adjuvant in Healthy Malaria Non-Exposed European and Malaria Exposed African Adults	Completed	No Results Available	Malaria, Falciparum	Biological: Group A1 : 50µg AMA1-DiCo + Alhydrogel|Biological: Group A2 : 50 µg AMA1-DiCo+ GLA-SE|Biological: Group B2 : Placebo	CNRFP, Ouagadougou, Burkina Faso|CIC BT 505 de vaccinologie Cochin Pasteur, Hôpital Cochin Bâtiment Lavoisier 27 rue du faubourg St Jacqu, Paris, France	https://ClinicalTrials.gov/show/NCT02014727
82	Malaria Transmission Studies in Mali	Completed	No Results Available	Malaria, Falciparum		National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States	https://ClinicalTrials.gov/show/NCT01829737
83	Nitrite Infusion in Children With Malaria	Not yet recruiting	No Results Available	Falciparum Malaria	Drug: Sodium Nitrite	Hubert Kairuki Memorial University, Dar es Salaam, Tanzania	https://ClinicalTrials.gov/show/NCT04289558
84	Immunization With Plasmodium Falciparum Sporozoites Under Chloroquine or Chloroquine/Azithromycin Prophylaxis	Withdrawn	No Results Available	Malaria, Falciparum	Drug: Azithromycin capsules|Drug: Placebo|Biological: Immunization with falciparum	Leiden University Medical Centre, Leiden, Netherlands	https://ClinicalTrials.gov/show/NCT01783340
85	Experimental Vaccine for Plasmodium Falciparum Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria|Vaccines	Drug: MSP1(42)-FVO & MSP1(42)-3D7	Quintiles Phase 1 Services, Lenexa, Kansas, United States	https://ClinicalTrials.gov/show/NCT00340431
86	Impact of Insecticide Resistance on Vector Control	Unknown status	No Results Available	Malaria, Falciparum	Other: Indoor residual insecticide spraying (IRS)|Device: Long Lasting Insecticidal Nets (LLIN)	Malaria Control Programme, Gedarif, Gedarif State, Sudan|Malaria Control Programme, Wad Medani, Gezira State, Sudan|Malaria Control Programme, Kassala, Kassala State, Sudan	https://ClinicalTrials.gov/show/NCT01713517
87	Re-exposure of Human Volunteers to a Heterologous Strain of P. Falciparum Sporozoites	Completed	No Results Available	Malaria, Falciparum	Biological: Heterologous challenge|Drug: Malarone treatment	Leiden University Medical Centre, Leiden, Netherlands	https://ClinicalTrials.gov/show/NCT01660854
88	Safety and Preliminary Efficacy of the Malaria Vaccine Candidates Falciparum Merozoite Protein-1 (FMP1) and SmithKlineBeecham (SKBB) Candidate Malaria Vaccine RTS,S	Completed	No Results Available	Malaria, Falciparum	Biological: FMP1/AS02|Biological: RTS,S/AS02|Other: AS02 adjuvant alone|Other: Malaria challenge	WRAIR Clinical Trials Center, Silver Spring, Maryland, United States	https://ClinicalTrials.gov/show/NCT01556945
89	Time to Become Negative of Three Rapid Diagnostic Tests for Malaria	Completed	No Results Available	Malaria, Falciparum		Kazo level 4 health centre, Kazo, Greater Mbarara District, Uganda|Mbarara Municipality level 2 health centre, Mbarara, Greater Mbarara district, Uganda	https://ClinicalTrials.gov/show/NCT01325974
90	DSM265 Chemoprophylaxis of Plasmodium Falciparum Malaria	Completed	No Results Available	Falciparum Malaria	Drug: DSM265 400mg|Drug: Placebo to DSM265 400 mg|Biological: Plasmodium falciparum sporozoite challenge|Drug: Malarone	Universitätsklinikum Tübingen, Institut für Tropenmedizin, Tübingen, Germany	https://ClinicalTrials.gov/show/NCT02450578
91	AMA1-C1/Alhydrogel + CpG 7909 for Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: AMA1-C1/Alhydrogel®|Biological: CPG 7909 Oligodeoxynucleotide (VaxImmune®)	University of Rochester, Rochester, New York, United States	https://ClinicalTrials.gov/show/NCT00344539
92	Study of Iron Absorption and Utilization in Asymptomatic Malaria	Completed	No Results Available	Malaria, Falciparum	Drug: Antimalarial treatment|Other: Observation	Hopital de zone de Natitingou, Natitingou, Benin	https://ClinicalTrials.gov/show/NCT01108939
93	Mass Screening and Treatment for Reduction of Falciparum Malaria	Recruiting	No Results Available	Plasmodium Falciparum Malaria	Diagnostic Test: Ultrasensitive Rapid Diagnostic Test (URDT)|Drug: Antimalarials	Shoklo Malaria Research Unit, Mae Sot, Tak, Thailand	https://ClinicalTrials.gov/show/NCT04093765
94	Mass-Drug Administration to Reduce Malaria Transmission	Completed	No Results Available	Malaria, Falciparum	Drug: Sulphadoxine-pyrimethamine (day 1: 500mg S&25mg P/20 kg)|Drug: Artesunate (day 1,2,3: 4 mg/kg)|Drug: Primaquine-base (day 3: 0.75 mg/kg)|Drug: placebo tablets	Kilimanjaro Christian Medical Centre, Moshi, Tanzania	https://ClinicalTrials.gov/show/NCT00509015
95	Chloroquine and Coartem for Treatment of Symptomatic Children With Plasmodium Falciparum in Guinea Bissau	Completed	No Results Available	Malaria, Falciparum	Drug: Chloroquine|Drug: Artemether-lumefantrine (Coartem)	Bandim Health Project, Apartado 861, Bissau, Guinea-Bissau	https://ClinicalTrials.gov/show/NCT00426439
96	Double-blind, Randomized, Controlled Study of Safety, Immunogenicity and Efficacy of a Candidate Malaria Vaccine	Completed	No Results Available	Malaria, Falciparum	Biological: FMP1/AS02A	Walter Reed Project, Kombewa Clinic, City of Kisumu, Nyanza Province, Kenya	https://ClinicalTrials.gov/show/NCT00223990
97	Assessing the Efficacy of Four Drug Combinations as the Next First-line Therapy for Uncomplicated Malaria in Malawi	Completed	No Results Available	Malaria, Falciparum	Drug: sulfadoxine-pyrimethamine|Drug: amodiaquine plus sulfadoxine-pyrimethamine|Drug: amodiaquine plus artesunate|Drug: chlorproguanil-dapsone plus artesunate|Drug: lumefantrine-artemether	Kawale Health Center, Lilongwe, Lilongwe District, Malawi|Machinga District Hospital, Liwonde, Machinga District, Malawi|Matiki Health Center, Dwangwa, Nkhotakota District, Malawi	https://ClinicalTrials.gov/show/NCT00164710
98	Preventing Malaria During Pregnancy in Epidemic-prone Areas.	Completed	No Results Available	Malaria, Falciparum	Drug: Intermittent preventive treatment:sulphadoxine-pyrimethamine|Device: Insecticide-treated mosquito bed net	Kabale District Health Services (antenatal clinics at selected sites), Kabale, Kabale District, Uganda	https://ClinicalTrials.gov/show/NCT00142207
99	The Efficacy of Re-treatment With Sulfadoxine-pyrimethamine in Children	Completed	No Results Available	Malaria, Falciparum	Drug: Sulfadoxine-pyrimethamine (Fansidar)	Bandim Health Project, Apartado 861, Bissau, Guinea-Bissau	https://ClinicalTrials.gov/show/NCT00137553
100	Chloroquine and Amodiaquine for Treatment of Malaria in Children	Completed	No Results Available	Malaria, Falciparum	Drug: chloroquine|Drug: amodiaquine	Bandim Health Project, Apartado 861, Bissau, Guinea-Bissau	https://ClinicalTrials.gov/show/NCT00137514
101	Interactions Between Artemether-lumefantrine and Antiretrovirals in HIV-patients With Uncomplicated Malaria in Tanzania	Completed	No Results Available	Malaria, Falciparum|HIV Infections	Drug: Artemether-lumefantrine (AL)	Muheza Designated District Hospital, Muheza, Tanga Region, Tanzania	https://ClinicalTrials.gov/show/NCT00885287
102	Enhancing Preventive Therapy of Malaria In Children With Sickle Cell Anemia in East Africa (EPiTOMISE)	Active, not recruiting	No Results Available	Malaria,Falciparum	Drug: Proguanil Oral Tablet|Drug: Sulfadoxine/Pyrimethanine-Amodiaquine (SP-AQ)|Drug: Dihydroartemisinin-Piperaquine (DP)	Homa Bay County Referral Hospital, Homa Bay Town, Homa Bay County, Kenya	https://ClinicalTrials.gov/show/NCT03178643
103	Efficacy of ArTiMist™ in Children	Completed	Has Results	Falciparum Malaria	Drug: Quinine|Drug: Artemether		https://ClinicalTrials.gov/show/NCT01047436
104	Efficacy of Artesunate-Mefloquine Combination Therapy in Trat Province, Thailand	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Artesunate|Drug: Mefloquine	Vector Borne Diseases Control Units (VBDC, malaria clinics), Borai, Khaosaming and Muang districts, Trat, Thailand	https://ClinicalTrials.gov/show/NCT01659281
105	MMV390048 Against Early Plasmodium Falciparum Blood Stage Infection in Healthy Participants	Completed	No Results Available	Malaria, Falciparum	Drug: MMV390048 20mg|Drug: MMV390048 x mg|Drug: MMV390048 y mg	Q-Pharm Clinics, Royal Brisbane and Women's Hospital, Brisbane, Queensland, Australia	https://ClinicalTrials.gov/show/NCT02281344
106	Safety and Efficacy Study of Adjunctive Rosiglitazone in the Treatment of Uncomplicated Falciparum Malaria	Completed	No Results Available	Falciparum Malaria	Drug: Rosiglitazone|Drug: Placebo	Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand	https://ClinicalTrials.gov/show/NCT00149383
107	Tolerability and Efficacy of Artemether-Lumefantrine Versus Artesunate + Amodiaquine in Zanzibar	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Artemether-lumefantrine|Drug: Coadministered Artesunate plus Amodiaquine		https://ClinicalTrials.gov/show/NCT03764527
108	Pharmacokinetics and Pharmacodynamics of the Gametocytocidal and Post-treatment Chemoprotective Effects of Antimalarials	Recruiting	No Results Available	Uncomplicated Falciparum Malaria	Drug: Artemether-lumefantrine|Drug: Dihydroartemisinin-piperaquine	Tropical Diseases Research Centre, Ndola, Copperbelt, Zambia	https://ClinicalTrials.gov/show/NCT04009343
109	Azithromycin Combination Therapy for the Treatment of Severe Malaria	Completed	No Results Available	Falciparum Malaria	Drug: Artesunate|Drug: Azithromycin + Artesunate	MARIB, Bandarban, Bangladesh	https://ClinicalTrials.gov/show/NCT01374126
110	Artemisinin-resistant Malaria in Cambodia	Completed	No Results Available	Plasmodium Falciparum Malaria		National Center for Parasitology, Entomology, and Malaria Controk, Ministry of H, Phnom Penh, Cambodia	https://ClinicalTrials.gov/show/NCT01736319
111	Efficacy of Artemether/Lumefantrine for the Treatment of Uncomplicated Malaria.	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Artemether-lumefantrine	Muhimbili University of Health and Allied Sciences, Dar es Salaam, Tanzania	https://ClinicalTrials.gov/show/NCT02089841
112	Efficacy and Safety of Artesunate-amodiaquine-methylene for Malaria Treatment in Children	Completed	No Results Available	Uncomplicated Falciparum Malaria	Drug: artesunate (AS) - amodiaquine (AQ) - methylene blue (MB)	Nouna Health District, Nouna, Mouhoun, Burkina Faso	https://ClinicalTrials.gov/show/NCT01407887
113	Study of the Impact of Intermittent Preventive Treatment in Schools on Malaria, Anaemia and Education.	Completed	No Results Available	Malaria, Falciparum	Drug: Intermittent preventive treatment (SP and amodiaquine)|Other: Placebo	Primary schools within Bondo district / Bondo District Hospital, Bondo, Bondo district, Kenya	https://ClinicalTrials.gov/show/NCT00142246
114	Superiority of ArTiMist Versus Quinine in Children With Severe Malaria	Completed	Has Results	Plasmodium Falciparum Malaria	Drug: Artemether Sublingual Spray|Drug: Quinine	Centre National de Recherche et de Formation sur le Paludisme (CNRFP), Ouagadougou, Burkina Faso|Navrongo Health Research Centre, Navrongo, Ghana|Rwinkwavu District Hospital, Rwinkwavu, Eastern Province, Rwanda	https://ClinicalTrials.gov/show/NCT01258049
115	The Cytoadherence in Pediatric Malaria (CPM) Study	Completed	No Results Available	Plasmodium Falciparum Malaria		Mulago Hospital Acute Care Unit & Makerere University Department of Paediatrics & Child Health, Kampala, Uganda	https://ClinicalTrials.gov/show/NCT00707200
116	Compare the Effectiveness Between Existing Treatment and New Treatment	Completed	No Results Available	P. Falciparum Malaria	Drug: Mefloquine+Artesunate|Drug: Dihydroartemisinin-Piperaquine	Shoklo Malaria Research Unit, Mae Sot, Tak, Thailand	https://ClinicalTrials.gov/show/NCT01640587
117	P. Falciparum Resistance to Artemisinin in Vietnam	Unknown status	No Results Available	Drug Resistant Malaria Due to Plasmodium Falciparum	Drug: Artesunate (AS) group|Drug: DHA - PPQ group	Chu R Cam commune, Pleiku, Gialai, Vietnam	https://ClinicalTrials.gov/show/NCT02604966
118	A Trial to Compare the Efficacy, Safety and Tolerability of Combinations of 3 Anti-malarial Drugs Against Combinations of 2 Anti-malarial Drugs (Asia)	Not yet recruiting	No Results Available	Plasmodium Falciparum Malaria (Uncomplicated)	Drug: Artemether-lumefantrine+amodiaquine|Drug: Artemether-lumefantrine+placebo|Drug: Artesunate-piperaquine+mefloquine|Drug: Artesunate-piperaquine+placebo OR Artesunate-mefloquine		https://ClinicalTrials.gov/show/NCT03939104
119	A Study by the Development of Triple Artemisinin Combination Therapies (DeTACT) Collaboration (Africa)	Not yet recruiting	No Results Available	Plasmodium Falciparum Malaria (Uncomplicated)	Drug: Artemether-lumefantrine+ Amodiaquine (AL+AQ)|Drug: Artemether-lumefantrine + placebo (AL+PBO)|Drug: Artesunate-mefloquine+piperaquine (AS-MQ+PPQ)|Drug: Artesunate-mefloquine+placebo (AS-MQ+PBO)		https://ClinicalTrials.gov/show/NCT03923725
120	Trial of Artesunate Combination Therapy in Pakistan	Completed	No Results Available	Uncomplicated Falciparum Malaria	Drug: artesunate (AS)|Drug: sulphadoxine-pyrimethamine (SP)|Drug: Chloroquine (CQ)|Drug: primaquine (PQ)	HealthNet International, Peshawar, Pakistan	https://ClinicalTrials.gov/show/NCT00959517
121	Mass Drug Administration With Dihydroartemisinin + Piperaquine for Reducing Malaria in Southern Zambia	Active, not recruiting	No Results Available	Malaria|Malaria, Falciparum	Drug: MDA with DHAp (Eurartesim)|Drug: Focal MDA with DHAp (Eurartesim)	Southern province medical office, Choma, Southern, Zambia	https://ClinicalTrials.gov/show/NCT02329301
122	Drug Combinations of Atovaquone-Proguanil (AP) With ACT	Recruiting	No Results Available	Plasmodium Falciparum Malaria (Drug Resistant)	Drug: Artesunate and Pyronaridine|Drug: Atovaquone Proguanil and Artesunate Pyronaridine|Drug: Atovaquone Proguanil and Artesunate Mefloquine	Kratie Referral Hospital, Kratie, Cambodia|Stung Treng Referral Hospital, Stung Treng, Cambodia|Anlong Veng Referral Hospital, Ânlóng Vêng, Cambodia	https://ClinicalTrials.gov/show/NCT03726593
123	Azithromycin Combination Therapy for Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Artesunate|Drug: Azithromycin|Drug: Quinine	Mahidol University Hospital for Tropical Diseases, Bangkok, Thailand	https://ClinicalTrials.gov/show/NCT00299208
124	Efficacy, Safety and Pharmacokinetics of Artemether-lumefantrine Dispersible Tablet in the Treatment of Malaria in Infants < 5 kg	Completed	Has Results	Acute Uncomplicated Falciparum Malaria	Drug: Artemether-lumefantrine (COA566)	Novartis Investigative Site, Cotonou, Benin|Novartis investigative site, Cotonou, Benin|Novartis Investigative Site, Burkina Faso, Burkina Faso|Novartis investigative site, Ouagadougou, Burkina Faso|Novartis investigative site, Kinshasa, Congo|Novartis investigative site, Calabar, Nigeria|Novartis investigative site, Lome, Togo	https://ClinicalTrials.gov/show/NCT01619878
125	Experimental Vaccine for Malaria in Adults in Mali	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: AMA1-C1|Drug: AMA1-C1/alhydrogel Malaria Vaccine	Malaria Research and Training Center (MRTC), Bamako, Mali	https://ClinicalTrials.gov/show/NCT00343005
126	Comparative Evaluation of the Safety and the Efficacy of 2 Antimalarials Depending on HIV Status	Terminated	No Results Available	Plasmodium Falciparum Malaria	Drug: ARTEMETHER + LUMEFANTRINE VS. SULFADOXINE + PYRIMETHAMINE	Tropical Disease Research Center, Ndola, Cupperbelt, Zambia	https://ClinicalTrials.gov/show/NCT00304980
127	Liberia Insecticide Treated Durable Wall Linings Study: Protocol for a Cluster Randomised Trial (DL)	Completed	No Results Available	Malaria, Falciparum|Anemia	Device: Insecticide treated wall lining	Bomi County Health Team, Tubmanburg, Bomi County, Liberia	https://ClinicalTrials.gov/show/NCT02448745
128	SPK Study in Afghanistan	Unknown status	No Results Available	Uncomplicated P. Falciparum Malaria	Drug: Artesunate + Sulphadoxine-pyrimethamine	Narang, Asadabad, Watapoor district health centres, Kunar, Afghanistan	https://ClinicalTrials.gov/show/NCT01707199
129	Trial of Azithromycin Plus Chloroquine Versus Sulfadoxine-Pyrimethamine Plus Chloroquine for the Treatment of Uncomplicated Malaria in India	Completed	No Results Available	PLASMODIUM FALCIPARUM MALARIA	Drug: Azithromycin/Chloroquine|Drug: Sulfadoxine-Pyrimethamine/Chloroquine	Pfizer Investigational Site, Dispur Guwahati, Assam, India|Pfizer Investigational Site, Bambolim, Gao, India|Pfizer Investigational Site, Nagpur, Maharashtra, India|Pfizer Investigational Site, Parel Mumbai, Maharashtra, India|Pfizer Investigational Site, Rourkela, Orissa, India|Pfizer Investigational Site, Vellore, Tamil Nadu, India|Pfizer Investigational Site, Indore, India	https://ClinicalTrials.gov/show/NCT00074841
130	Tracking Resistance to Artemisinin (TRAC)	Completed	No Results Available	Falciparum Malaria	Drug: Artesunate 2|Drug: Artesunate 4	Ramu Upazila Health Complex, Cox's Bazaar, Bangladesh|Pailin General Hospital, Pailin, Cambodia|District Referral Hospital, Preah Vihear, Cambodia|Pursat Referral Hospital, Pursat, Cambodia|District Referral Hospital, Rattanakiri, Cambodia|Kingasani Health Centre, Kinshasa, Congo, The Democratic Republic of the|Sulkapara Block Primary Health Center, West Bengal, India|Pingilikani Dispensary, Kilifi, Kenya|Phouvong District Hospital, Phouvong, Attapeu, Lao People's Democratic Republic|Myitkyina, Myitkyina, Kachin, Myanmar|Day Bu Noh, Luthaw, Karen, Myanmar|Pyin Oo Lwin, Mandalay, Mandalay Region, Myanmar|Thabeikkyin Hospital, Thabeikkyin, Mandalay, Myanmar|Shwe Kyin Hospital, Shwe Kyin, Myanmar|University of Ilorin Teaching Hospital, Ilorin, Nigeria|Shoklo Malaria Research Unit, Mae Sot, Tak, Thailand|Kraburi Hospital, Ranong, Thailand|Phusing Hospital, Srisaket, Thailand|Phuoc Long Hospital, Binh Phuoc, Vietnam	https://ClinicalTrials.gov/show/NCT01350856
131	Safety and Immunogenicity of EBA-175 RII-NG Malaria Vaccine Administered Intramuscularly	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: Aluminum Phosphate|Drug: Placebo|Biological: EBA-175 RII-NG Malaria Vaccine	Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT00347555
132	Trial to Assess the Efficacy of Malaria Vaccine PfCS 102	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: PfCS102|Biological: Montanide ISA 720	Department of Ambulatory Care and Community Medicine; University Hospital, Lausanne, Switzerland	https://ClinicalTrials.gov/show/NCT01031524
133	Safety of KAE609 in Adults With Uncomplicated Plasmodium Falciparum Malaria.	Recruiting	No Results Available	Malaria	Drug: KAE609|Drug: Coartem	Novartis Investigative Site, Lambarene, Gabon|Novartis Investigative Site, Kintampo, Ghana|Novartis Investigative Site, Navrango, Ghana|Novartis Investigative Site, Bamako, Mali|Novartis Investigative Site, Sotuba, Mali|Novartis Investigative Site, Kigali, Rwanda|Novartis Investigative Site, Bushenyi, Uganda|Novartis Investigative Site, Kampala, Uganda|Novartis Investigative Site, Tororo, Uganda	https://ClinicalTrials.gov/show/NCT03334747
134	Targeted Active Case Detection Among High Risk Populations in Southern Lao Peoples Democratic Republic	Completed	No Results Available	Plasmodium Falciparum Malaria	Diagnostic Test: Standard RDT and HS-RDT|Drug: Artemether-lumefantrine|Drug: Primaquine Phosphate	University of California, San Francisco, San Francisco, California, United States|Centre for Marialogy, Parasitology, and Entomology, Vientiane, Lao People's Democratic Republic	https://ClinicalTrials.gov/show/NCT03783299
135	Effectiveness and Safety of Intermittent Preventive Treatment for Malaria Using Either Dihydroartemisinin-piperaquine or Artesunate-amodiaquine in Reducing Malaria Related Morbidities and Improving Cognitive Ability in School-aged Children in Tanzania	Recruiting	No Results Available	Malaria,Falciparum|Anemia	Drug: Dihydroartemisinin-piperaquine|Drug: Artesunate-amodiaquine	National Institute for Medical Research, Tanga, Tanzania	https://ClinicalTrials.gov/show/NCT03640403
136	Safety and Tolerability of Low Dose Primaquine	Completed	No Results Available	Malaria, Falciparum|G6PD Deficiency	Drug: Dihydroartemisinin piperaquine (DHA PP)|Drug: Primaquine	Ratanakiri Provincial Hospital, Ratanakiri, Cambodia	https://ClinicalTrials.gov/show/NCT02434952
137	A Bioequivalence Study Comparing Amodiaquine Tablet (Pfizer) To Amodiaquine Tablets (Arsuamoon-Guilin China) In Healthy Subjects	Completed	No Results Available	Falciparum Malaria	Drug: Amodiaquine (Test)|Drug: Amodiaquine (Comparator)	Pfizer Investigational Site, Singapore, Singapore	https://ClinicalTrials.gov/show/NCT00894660
138	Bioequivalence Study Comparing Artesunate Tablet To Arsuamoon® Tablets (Guilin-China) In Healthy Subjects	Completed	No Results Available	Falciparum Malaria	Drug: Artesunate (Test)|Drug: Artesunate (Comparator)	Pfizer Investigational Site, Singapore, Singapore	https://ClinicalTrials.gov/show/NCT00894374
139	A Bioequivalence Study Comparing Camoquin® Suspension (Pfizer) To Flavoquine® Tablets (Sanofi Aventis) In Healthy Subjects	Completed	No Results Available	Falciparum Malaria	Drug: Flavoquine®, Camoquin® Suspension	Pfizer Investigational Site, Navi Mumbai, Maharashtra, India	https://ClinicalTrials.gov/show/NCT00859807
140	Seasonal Malaria Vaccination (RTS,S/AS01) and Seasonal Malaria Chemoprevention (SP/AQ)	Active, not recruiting	No Results Available	Malaria,Falciparum|Children, Only	Biological: RABIPUR®|Biological: RTS,S/AS01|Drug: SMC with SP+AQ|Drug: SMC placebo	Institut de Recherche en Sciences de la Santé, Direction Régionale de l'Ouest, Ouagadougou, Burkina Faso|Malaria Research & Training Center, Bamako, Mali	https://ClinicalTrials.gov/show/NCT03143218
141	Molecular Surveillance of Artemisinin Resistance Malaria in Myanmar	Completed	No Results Available	Drug Resistance|Plasmodium Falciparum Malaria	Drug: First line antimalarial in Myanmar (artemether-lumefrantrine, dihydroartemisinin-piperaquine, and artesunate-mefloquine)	Dr. Myat Phone Kyaw, Yangon, Myanmar	https://ClinicalTrials.gov/show/NCT02792816
142	Efficacy, Tolerability, PK of OZ439 in Adults With Acute, Uncomplicated P.Falciparum or Vivax Malaria Mono-infection	Completed	Has Results	Malaria, Falciparum|Malaria, Vivax	Drug: OZ439		https://ClinicalTrials.gov/show/NCT01213966
143	Artemisinin Resistance in Cambodia II	Completed	No Results Available	Falciparum Malaria	Drug: Artesunate	Tasanh Health Center, Sam Lot District, Battambang, Cambodia	https://ClinicalTrials.gov/show/NCT00722150
144	Evaluation of the Performance of a hsRDT Versus cRDT in Reactive Case Detection of Malaria Infections	Recruiting	No Results Available	Malaria Diagnosis|Malaria,Falciparum	Diagnostic Test: hsRDT	University Research Co., LLC (URC), Yangon, Myanmar	https://ClinicalTrials.gov/show/NCT03511443
145	Study to Evaluate Safety, Immunogenicity and Efficacy of PfSPZ Vaccine in HIV Negative and HIV Positive Tanzanian Adults	Completed	No Results Available	Malaria|Malaria,Falciparum	Biological: PfSPZ Vaccine|Other: Normal Saline Placebo|Biological: PfSPZ Challenge	Bagamoyo Research and Training Center of the Ifakara Health Institute, Bagamoyo, Tanzania	https://ClinicalTrials.gov/show/NCT03420053
146	Phase II Dose Ranging Study of Artesunate	Completed	No Results Available	Falciparum Malaria|Uncomplicated Malaria	Drug: Artesunate for Injection	New Nyanza Provincial Hospital, Kisumu, Nyanza, Kenya|Kwai River Christian Hospital, Sangkhlaburi, Kanchanaburi, Thailand	https://ClinicalTrials.gov/show/NCT00459615
147	Efficacy, Effect on Gametocytes and Tolerability of the Addition of Artesunate to Amodiaquine in Colombia	Completed	No Results Available	Malaria,Falciparum|Malaria|Antimalarials	Drug: Artesunate	Hospital Ismael Roldan and Centro de Salud San Vicente, Quibdo, Choco, Colombia	https://ClinicalTrials.gov/show/NCT00378625
