orf	target	blast_score	hmmer_score	expect	evalue
Pf3D7_07_v3-4-89732-89556	CHEMBL1907592	28.9	15.1	0.036	0.015
Pf3D7_07_v3-4-89732-89556	CHEMBL2026	26.6	13.7	0.27	0.04
Pf3D7_07_v3-4-89732-89556	CHEMBL4259	26.9	13.6	0.22	0.042
Pf3D7_07_v3-4-902405-902070	CHEMBL3068	25.8	12.3	2.4	0.067
Pf3D7_07_v3-4-903017-902823	CHEMBL6145	23.5	5.6	4.5	9.8
Pf3D7_07_v3-4-920978-917961	CHEMBL3174	29.3	10.8	3.9	0.041
Pf3D7_07_v3-4-920978-917961	CHEMBL1860	29.6	10.7	3.5	0.042
Pf3D7_07_v3-4-925688-925401	CHEMBL2096907	30.4	6.7	0.038	4.4
Pf3D7_07_v3-4-934934-934719	CHEMBL5921	25.0	8.8	1.5	0.99
Pf3D7_07_v3-4-934934-934719	CHEMBL2213	28.1	5.6	0.14	10
Pf3D7_07_v3-4-953177-949452	CHEMBL1795178	49.7	98.6	0.000004	0.000000000000000000000000000089
Pf3D7_07_v3-4-953177-949452	CHEMBL4439	42.7	95.9	0.0006	0.00000000000000000000000000055
Pf3D7_07_v3-4-953177-949452	CHEMBL2363965	48.9	72.8	0.000006	0.0000000000000000000054
Pf3D7_07_v3-4-955733-955560	CHEMBL3085614	27.3	14.1	0.13	0.026
Pf3D7_07_v3-4-964409-964023	CHEMBL4047	30.4	14.3	0.096	0.011
Pf3D7_07_v3-4-964409-964023	CHEMBL2617	30.0	13.6	0.12	0.018
Pf3D7_07_v3-4-986039-985887	CHEMBL4463	23.9	8.9	1.6	0.96
Pf3D7_07_v3-4-986039-985887	CHEMBL5079	23.5	7.4	2.5	3
Pf3D7_07_v3-5-1035268-1034972	CHEMBL4213	24.6	14.0	4.3	0.021
Pf3D7_07_v3-5-1049362-1048271	CHEMBL2093862	68.6	328.6	0.0000000000004	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015
Pf3D7_07_v3-5-1056934-1056737	CHEMBL1795125	23.9	11.9	3.4	0.11
Pf3D7_07_v3-5-1056934-1056737	CHEMBL5863	23.9	11.9	3.1	0.11
Pf3D7_07_v3-5-1056934-1056737	CHEMBL4675	23.9	11.1	3.0	0.19
Pf3D7_07_v3-5-1062979-1058936	CHEMBL4467	42.0	238.9	0.001	0.000000000000000000000000000000000000000000000000000000000000000000000033
Pf3D7_07_v3-5-1067314-1067165	CHEMBL1764937	28.9	13.8	0.030	0.035
Pf3D7_07_v3-5-1067314-1067165	CHEMBL6129	28.1	12.8	0.056	0.073
Pf3D7_07_v3-5-1067572-1067369	CHEMBL3124734	27.7	12.0	0.15	0.096
Pf3D7_07_v3-5-106801-106565	CHEMBL2675	24.3	9.3	3.3	0.76
Pf3D7_07_v3-5-106801-106565	CHEMBL4094	24.3	9.3	3.3	0.76
Pf3D7_07_v3-5-1070224-1070048	CHEMBL5250	27.3	12.8	0.14	0.063
Pf3D7_07_v3-5-109084-108893	CHEMBL1075153	28.9	16.4	0.046	0.0038
Pf3D7_07_v3-5-1096486-1096328	CHEMBL3456	24.3	13.9	1.3	0.029
Pf3D7_07_v3-5-1100524-1100336	CHEMBL1075194	25.0	12.1	1.2	0.088
Pf3D7_07_v3-5-1100524-1100336	CHEMBL2034802	24.6	11.2	1.4	0.17
Pf3D7_07_v3-5-1100524-1100336	CHEMBL1075174	25.4	9.5	0.74	0.59
Pf3D7_07_v3-5-1103917-1103741	CHEMBL307	24.6	7.3	1.1	2.8
Pf3D7_07_v3-5-1141786-1141469	CHEMBL4604	24.3	13.5	6.4	0.031
Pf3D7_07_v3-5-1155361-1152158	CHEMBL2241	41.6	14.3	0.001	0.0028
Pf3D7_07_v3-5-1155361-1152158	CHEMBL5505	34.7	3.5	0.11	5.4
Pf3D7_07_v3-5-1155361-1152158	CHEMBL5137	29.3	2.8	5.0	8.3
Pf3D7_07_v3-5-1168411-1168211	CHEMBL2169727	23.5	13.1	4.1	0.053
Pf3D7_07_v3-5-1180834-1180556	CHEMBL2363032	27.7	13.0	0.33	0.05
Pf3D7_07_v3-5-1180834-1180556	CHEMBL2363042	28.1	12.1	0.24	0.092
Pf3D7_07_v3-5-1192210-1191182	CHEMBL2328	228	474.5	0.0000000000000000000000000000000000000000000000000000000000000000000000003	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000055
Pf3D7_07_v3-5-1192210-1191182	CHEMBL1075269	227	474.2	0.0000000000000000000000000000000000000000000000000000000000000000000000004	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000066
Pf3D7_07_v3-5-1192210-1191182	CHEMBL2176837	29.3	192.0	1.3	0.0000000000000000000000000000000000000000000000000000000044
Pf3D7_07_v3-5-1192210-1191182	CHEMBL2176779	35.8	181.1	0.011	0.0000000000000000000000000000000000000000000000000000096
Pf3D7_07_v3-5-1192210-1191182	CHEMBL2268010	28.1	178.5	2.8	0.000000000000000000000000000000000000000000000000000056
Pf3D7_07_v3-5-1234786-1233497	CHEMBL3038478	55.5	69.8	0.00000001	0.000000000000000000087
Pf3D7_07_v3-5-1234786-1233497	CHEMBL2093864	28.5	55.0	2.6	0.0000000000000026
Pf3D7_07_v3-5-1236331-1236179	CHEMBL5283	23.9	9.2	1.9	0.99
Pf3D7_07_v3-5-1252000-1251728	CHEMBL1075056	27.3	14.0	0.42	0.018
Pf3D7_07_v3-5-1252000-1251728	CHEMBL4969	24.3	11.0	4.6	0.16
Pf3D7_07_v3-5-1264945-1264703	CHEMBL1938210	30.4	17.9	0.024	0.0015
Pf3D7_07_v3-5-127258-122516	CHEMBL2363135	49.3	132.0	0.000005	0.0000000000000000000000000000000000000054
Pf3D7_07_v3-5-1282090-1281788	CHEMBL1908389	28.5	8.3	0.20	0.98
Pf3D7_07_v3-5-1308637-1308455	CHEMBL2363074	24.3	10.6	1.9	0.3
Pf3D7_07_v3-5-1308637-1308455	CHEMBL1770037	24.3	10.6	1.7	0.3
Pf3D7_07_v3-5-1318738-1318514	CHEMBL2163179	26.2	9.5	0.76	0.65
Pf3D7_07_v3-5-1363168-1363019	CHEMBL5619	25.8	14.2	0.40	0.023
Pf3D7_07_v3-5-1390570-1390376	CHEMBL4090	26.6	13.2	0.30	0.047
Pf3D7_07_v3-5-1390570-1390376	CHEMBL5958	26.6	13.0	0.30	0.054
Pf3D7_07_v3-5-145732-145430	CHEMBL3579	27.7	13.0	0.34	0.043
Pf3D7_07_v3-5-200338-200168	CHEMBL5117	23.5	10.8	3.1	0.25
Pf3D7_07_v3-5-214297-214094	CHEMBL1075121	26.9	14.6	0.24	0.015
Pf3D7_07_v3-5-214297-214094	CHEMBL2854	27.3	14.6	0.23	0.015
Pf3D7_07_v3-5-240853-240662	CHEMBL2157	44.3	94.6	0.0000001	0.00000000000000000000000000094
Pf3D7_07_v3-5-240853-240662	CHEMBL3740	36.2	71.6	0.0001	0.000000000000000000014
Pf3D7_07_v3-5-240853-240662	CHEMBL1951	35.0	70.7	0.0003	0.000000000000000000026
Pf3D7_07_v3-5-24217-23768	CHEMBL2111452	29.6	8.2	0.25	0.92
Pf3D7_07_v3-5-254518-254300	CHEMBL2397	25.4	9.7	0.99	0.61
Pf3D7_07_v3-5-264769-264551	CHEMBL5340	26.6	12.9	0.44	0.042
Pf3D7_07_v3-5-267940-267788	CHEMBL1075167	21.9	11.7	7.9	0.15
Pf3D7_07_v3-5-267940-267788	CHEMBL5016	21.9	6.8	9.1	5.6
Pf3D7_07_v3-5-306838-306686	CHEMBL5672	23.1	9.1	3.1	0.96
Pf3D7_07_v3-5-336988-336776	CHEMBL5191	29.3	11.5	0.039	0.13
Pf3D7_07_v3-5-354577-354404	CHEMBL2111427	29.3	12.0	0.030	0.096
Pf3D7_07_v3-5-380440-380243	CHEMBL4163	29.3	12.9	0.039	0.056
Pf3D7_07_v3-5-380440-380243	CHEMBL1908381	28.1	12.3	0.10	0.086
Pf3D7_07_v3-5-380440-380243	CHEMBL1075319	27.3	11.4	0.16	0.17
Pf3D7_07_v3-5-413173-412346	CHEMBL3014	36.2	99.7	0.006	0.000000000000000000000000000055
Pf3D7_07_v3-5-413173-412346	CHEMBL6095	28.5	90.7	1.7	0.00000000000000000000000003
Pf3D7_07_v3-5-46159-45989	CHEMBL3137276	25.4	12.6	0.66	0.089
Pf3D7_07_v3-5-462112-461915	CHEMBL5340	27.3	12.2	0.16	0.099
Pf3D7_07_v3-5-467596-467393	CHEMBL1075081	26.2	14.1	0.45	0.02
Pf3D7_07_v3-5-467596-467393	CHEMBL3531	25.4	13.5	0.92	0.03
Pf3D7_07_v3-5-473479-473312	CHEMBL5920	28.5	11.9	0.048	0.15
Pf3D7_07_v3-5-482491-482339	CHEMBL6078	24.6	11.2	1.0	0.19
Pf3D7_07_v3-5-482491-482339	CHEMBL5588	24.3	10.0	1.3	0.43
Pf3D7_07_v3-5-529729-529415	CHEMBL3893	36.6	67.6	0.0004	0.00000000000000000038
Pf3D7_07_v3-5-529729-529415	CHEMBL4444	35.0	67.5	0.001	0.00000000000000000042
Pf3D7_07_v3-5-553567-553409	CHEMBL3038455	25.0	12.8	0.76	0.052
Pf3D7_07_v3-5-60148-59975	CHEMBL2363965	27.7	13.2	0.097	0.041
Pf3D7_07_v3-5-620596-620336	CHEMBL2111329	29.6	14.5	0.054	0.018
Pf3D7_07_v3-5-684739-684542	CHEMBL5340	25.8	9.3	0.58	0.78
Pf3D7_07_v3-5-685009-684743	CHEMBL3258	47.0	84.3	0.00000005	0.0000000000000000000000021
Pf3D7_07_v3-5-685009-684743	CHEMBL2351	47.0	84.3	0.00000005	0.0000000000000000000000021
Pf3D7_07_v3-5-685009-684743	CHEMBL3860	47.0	84.3	0.00000005	0.0000000000000000000000021
Pf3D7_07_v3-5-685009-684743	CHEMBL1287609	46.6	83.9	0.00000006	0.000000000000000000000003
Pf3D7_07_v3-5-685009-684743	CHEMBL3641	46.6	83.7	0.00000006	0.0000000000000000000000033
Pf3D7_07_v3-5-685009-684743	CHEMBL3404	51.6	80.8	0.000000001	0.000000000000000000000026
Pf3D7_07_v3-5-685009-684743	CHEMBL3325	46.2	77.9	0.00000008	0.00000000000000000000021
Pf3D7_07_v3-5-685009-684743	CHEMBL2724	46.2	59.3	0.00000008	0.00000000000000013
Pf3D7_07_v3-5-685009-684743	CHEMBL4850	47.4	59.3	0.00000004	0.00000000000000014
Pf3D7_07_v3-5-685009-684743	CHEMBL3155	45.1	58.6	0.0000002	0.00000000000000022
Pf3D7_07_v3-5-689749-689546	CHEMBL5340	27.3	6.5	0.23	5.7
Pf3D7_07_v3-5-692575-692273	CHEMBL3351	28.1	13.6	0.28	0.026
Pf3D7_07_v3-5-699088-698891	CHEMBL5534	29.3	9.0	0.039	0.93
Pf3D7_07_v3-5-718465-718304	CHEMBL5665	28.1	15.1	0.066	0.01
Pf3D7_07_v3-5-734629-734480	CHEMBL2227489	27.3	13.6	0.097	0.032
Pf3D7_07_v3-5-749536-749315	CHEMBL2363074	25.4	14.5	1.3	0.021
Pf3D7_07_v3-5-7588-7313	CHEMBL2595	27.3	12.5	0.36	0.062
Pf3D7_07_v3-5-7588-7313	CHEMBL1075048	27.3	12.3	0.38	0.069
Pf3D7_07_v3-5-7588-7313	CHEMBL1697667	27.3	12.3	0.37	0.07
Pf3D7_07_v3-5-758932-758723	CHEMBL5340	24.6	10.1	2.0	0.3
Pf3D7_07_v3-5-766555-766388	CHEMBL5117	24.3	14.7	1.4	0.013
Pf3D7_07_v3-5-776350-776144	CHEMBL2516	23.5	13.9	4.2	0.019
Pf3D7_07_v3-5-792331-791924	CHEMBL3122	26.9	7.3	1.6	1.7
Pf3D7_07_v3-5-802687-796517	CHEMBL2111463	35.4	11.4	0.10	0.012
Pf3D7_07_v3-5-802687-796517	CHEMBL4777	35.8	10.0	0.080	0.033
Pf3D7_07_v3-5-802687-796517	CHEMBL6085	34.3	8.6	0.21	0.088
Pf3D7_07_v3-5-829375-829199	CHEMBL1795180	29.6	14.0	0.019	0.023
Pf3D7_07_v3-5-830467-830294	CHEMBL2157852	33.1	14.9	0.001	0.016
Pf3D7_07_v3-5-830467-830294	CHEMBL2157853	27.3	13.5	0.14	0.043
Pf3D7_07_v3-5-830467-830294	CHEMBL6014	26.9	6.5	0.22	8.2
Pf3D7_07_v3-5-834307-834155	CHEMBL1075153	25.0	8.1	0.71	2
Pf3D7_07_v3-5-839884-839684	CHEMBL4106	23.9	9.5	3.3	0.72
Pf3D7_07_v3-5-855637-855017	CHEMBL2363066	26.2	12.4	7.4	0.034
Pf3D7_07_v3-5-855637-855017	CHEMBL2363066	33.9	12.4	0.017	0.034
Pf3D7_07_v3-5-859843-859694	CHEMBL6019	25.8	11.7	0.34	0.14
Pf3D7_07_v3-5-870817-870635	CHEMBL1772930	26.6	5.8	0.33	8.9
Pf3D7_07_v3-5-871786-871493	CHEMBL3068	26.6	10.9	0.89	0.2
Pf3D7_07_v3-5-881608-881396	CHEMBL209	29.3	15.4	0.039	0.006
Pf3D7_07_v3-5-888031-887819	CHEMBL2034794	29.6	17.2	0.029	0.0023
Pf3D7_07_v3-5-888031-887819	CHEMBL5340	25.4	15.5	1.1	0.0082
Pf3D7_07_v3-5-888031-887819	CHEMBL2040703	27.3	15.2	0.23	0.01
Pf3D7_07_v3-5-893935-893726	CHEMBL1770032	28.1	11.9	0.11	0.1
Pf3D7_07_v3-5-908974-908822	CHEMBL5617	31.2	16.4	0.005	0.005
Pf3D7_07_v3-5-912760-912527	CHEMBL2111376	26.6	15.1	0.44	0.011
Pf3D7_07_v3-5-925681-925406	CHEMBL5067	26.9	17.0	0.64	0.0028
Pf3D7_07_v3-5-925681-925406	CHEMBL4722	25.0	16.1	2.4	0.0051
Pf3D7_07_v3-5-925681-925406	CHEMBL2096907	33.1	15.6	0.004	0.0077
Pf3D7_07_v3-5-928459-928280	CHEMBL4090	23.9	13.2	2.5	0.043
Pf3D7_07_v3-5-928459-928280	CHEMBL5958	23.9	13.2	2.5	0.043
Pf3D7_07_v3-5-931285-931124	CHEMBL4090	25.4	14.2	0.49	0.019
Pf3D7_07_v3-5-931285-931124	CHEMBL5958	25.4	14.2	0.48	0.019
Pf3D7_07_v3-5-931285-931124	CHEMBL5058	25.4	13.4	0.58	0.034
Pf3D7_07_v3-5-931285-931124	CHEMBL2111461	26.6	13.3	0.18	0.037
Pf3D7_07_v3-5-931285-931124	CHEMBL2437	26.9	12.7	0.18	0.058
Pf3D7_07_v3-5-931285-931124	CHEMBL2907	26.6	11.9	0.18	0.1
Pf3D7_07_v3-5-934612-934397	CHEMBL1681631	26.2	14.0	0.64	0.022
Pf3D7_07_v3-5-952486-952247	CHEMBL3465	24.6	7.6	2.4	1.6
Pf3D7_07_v3-5-955756-955577	CHEMBL2096904	26.9	12.2	0.18	0.091
Pf3D7_07_v3-5-958438-958265	CHEMBL5785	26.6	9.3	0.25	0.75
Pf3D7_07_v3-5-987055-986795	CHEMBL5920	28.9	7.1	0.11	2.7
Pf3D7_07_v3-6-1000311-1000084	CHEMBL1909484	28.5	15.7	0.10	0.0074
Pf3D7_07_v3-6-1009674-1009501	CHEMBL3038464	26.6	12.7	0.24	0.07
Pf3D7_07_v3-6-1033143-1027339	CHEMBL3653	36.2	69.6	0.074	0.000000000000000000045
Pf3D7_07_v3-6-1033143-1027339	CHEMBL1921665	38.9	57.4	0.009	0.00000000000000022
Pf3D7_07_v3-6-1033143-1027339	CHEMBL1741167	40.8	57.2	0.003	0.00000000000000024
Pf3D7_07_v3-6-1033143-1027339	CHEMBL3647	40.4	57.0	0.004	0.00000000000000028
Pf3D7_07_v3-6-1033143-1027339	CHEMBL1914270	37.4	55.7	0.036	0.00000000000000072
Pf3D7_07_v3-6-1033143-1027339	CHEMBL3746	42.7	52.7	0.001	0.0000000000000056
Pf3D7_07_v3-6-1033143-1027339	CHEMBL2987	39.7	49.1	0.007	0.000000000000069
Pf3D7_07_v3-6-1033143-1027339	CHEMBL1781862	37.4	46.6	0.036	0.0000000000004
Pf3D7_07_v3-6-1033143-1027339	CHEMBL4297	44.7	43.7	0.0002	0.0000000000029
Pf3D7_07_v3-6-1033143-1027339	CHEMBL2381	37.7	43.6	0.024	0.0000000000031
Pf3D7_07_v3-6-1048185-1047967	CHEMBL2093862	31.2	370.9	0.009	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000064
Pf3D7_07_v3-6-1058424-1058227	CHEMBL3893	27.3	16.5	0.20	0.0035
Pf3D7_07_v3-6-1058424-1058227	CHEMBL4444	27.3	16.5	0.21	0.0035
Pf3D7_07_v3-6-1058424-1058227	CHEMBL3363	25.0	13.3	1.3	0.035
Pf3D7_07_v3-6-1058424-1058227	CHEMBL1764941	25.0	13.2	1.4	0.039
Pf3D7_07_v3-6-1058424-1058227	CHEMBL293	24.6	13.2	1.4	0.039
Pf3D7_07_v3-6-1086813-1086655	CHEMBL5897	30.0	14.7	0.013	0.014
Pf3D7_07_v3-6-1136601-1127287	CHEMBL2096905	53.1	495.7	0.0000009	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000086
Pf3D7_07_v3-6-1136601-1127287	CHEMBL2096905	227	495.7	0.000000000000000000000000000000000000000000000000000000000002	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000086
Pf3D7_07_v3-6-1136601-1127287	CHEMBL2096905	137	495.7	0.00000000000000000000000000000002	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000086
Pf3D7_07_v3-6-1136601-1127287	CHEMBL2363074	78.6	293.8	0.00000000000002	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000058
Pf3D7_07_v3-6-1136601-1127287	CHEMBL2363074	50.4	293.8	0.000007	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000058
Pf3D7_07_v3-6-1136601-1127287	CHEMBL3038500	45.1	188.4	0.0002	0.000000000000000000000000000000000000000000000000000000034
Pf3D7_07_v3-6-1136601-1127287	CHEMBL1075193	47.8	165.0	0.00003	0.0000000000000000000000000000000000000000000000004
Pf3D7_07_v3-6-1136601-1127287	CHEMBL2363965	55.1	161.0	0.0000002	0.0000000000000000000000000000000000000000000000063
Pf3D7_07_v3-6-1136601-1127287	CHEMBL2096906	54.7	146.5	0.0000003	0.00000000000000000000000000000000000000000014
Pf3D7_07_v3-6-1136601-1127287	CHEMBL3038503	47.8	106.1	0.00004	0.00000000000000000000000000000022
Pf3D7_07_v3-6-1162491-1162330	CHEMBL2363043	23.1	7.9	4.1	1.7
Pf3D7_07_v3-6-1163958-1163782	CHEMBL1907607	25.8	14.3	0.54	0.017
Pf3D7_07_v3-6-1163958-1163782	CHEMBL5389	25.8	14.2	0.46	0.018
Pf3D7_07_v3-6-1163958-1163782	CHEMBL5948	25.8	14.2	0.43	0.018
Pf3D7_07_v3-6-1163958-1163782	CHEMBL3123	25.0	7.9	1.1	1.8
Pf3D7_07_v3-6-1163958-1163782	CHEMBL1075218	25.0	7.2	0.88	3.1
Pf3D7_07_v3-6-1163958-1163782	CHEMBL1075159	23.9	6.8	2.8	4
Pf3D7_07_v3-6-119565-119410	CHEMBL5230	28.5	6.1	0.044	9.3
Pf3D7_07_v3-6-1228845-1228657	CHEMBL5340	31.6	65.8	0.005	0.000000000000000001
Pf3D7_07_v3-6-1232781-1232590	CHEMBL5340	25.0	12.8	1.1	0.048
Pf3D7_07_v3-6-1270425-1270240	CHEMBL2362995	22.7	12.9	8.4	0.058
Pf3D7_07_v3-6-1285116-1284793	CHEMBL2242733	30.0	14.1	0.081	0.02
Pf3D7_07_v3-6-1287759-1287595	CHEMBL5340	23.9	7.6	1.8	2.3
Pf3D7_07_v3-6-1348497-1348327	CHEMBL2169721	29.3	13.5	0.023	0.038
Pf3D7_07_v3-6-1426767-1426603	CHEMBL209	26.6	12.2	0.20	0.095
Pf3D7_07_v3-6-145860-145588	CHEMBL2111473	31.6	17.5	0.011	0.0018
Pf3D7_07_v3-6-146805-146623	CHEMBL5318	22.3	13.1	8.5	0.036
Pf3D7_07_v3-6-148371-148207	CHEMBL1741205	25.0	13.5	0.68	0.042
Pf3D7_07_v3-6-152808-152509	CHEMBL5870	24.3	8.6	6.2	1
Pf3D7_07_v3-6-186939-186631	CHEMBL4572	25.8	10.2	1.7	0.25
Pf3D7_07_v3-6-21039-20821	CHEMBL2111413	28.9	15.2	0.057	0.0082
Pf3D7_07_v3-6-213528-208693	CHEMBL4576	73.2	207.0	0.0000000000002	0.00000000000000000000000000000000000000000000000000000000000016
Pf3D7_07_v3-6-213528-208693	CHEMBL3325	73.9	167.9	0.00000000000005	0.0000000000000000000000000000000000000000000000001
Pf3D7_07_v3-6-213528-208693	CHEMBL2844	73.2	163.4	0.0000000000001	0.0000000000000000000000000000000000000000000000023
Pf3D7_07_v3-6-213528-208693	CHEMBL3404	75.9	163.0	0.00000000000001	0.0000000000000000000000000000000000000000000000029
Pf3D7_07_v3-6-213528-208693	CHEMBL6002	78.2	162.8	0.000000000000004	0.0000000000000000000000000000000000000000000000033
Pf3D7_07_v3-6-213528-208693	CHEMBL1697657	75.5	161.6	0.00000000000003	0.0000000000000000000000000000000000000000000000081
Pf3D7_07_v3-6-213528-208693	CHEMBL2724	71.6	156.2	0.000000000001	0.00000000000000000000000000000000000000000000035
Pf3D7_07_v3-6-213528-208693	CHEMBL5470	70.5	154.5	0.000000000002	0.0000000000000000000000000000000000000000000011
Pf3D7_07_v3-6-213528-208693	CHEMBL3213	70.1	133.0	0.000000000002	0.0000000000000000000000000000000000000035
Pf3D7_07_v3-6-213528-208693	CHEMBL1909482	71.6	132.2	0.0000000000007	0.0000000000000000000000000000000000000057
Pf3D7_07_v3-6-252126-251764	CHEMBL2111375	34.3	9.6	0.004	0.5
Pf3D7_07_v3-6-252126-251764	CHEMBL1075057	28.9	5.4	0.29	9.6
Pf3D7_07_v3-6-259503-259267	CHEMBL2439	26.2	13.8	0.66	0.031
Pf3D7_07_v3-6-259503-259267	CHEMBL4224	26.6	13.8	0.53	0.031
Pf3D7_07_v3-6-259503-259267	CHEMBL2758	26.6	7.7	0.55	2.6
Pf3D7_07_v3-6-267441-264976	CHEMBL2364103	266	945.1	0.00000000000000000000000000000000000000000000000000000000000000000000000000008	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000099
Pf3D7_07_v3-6-267441-264976	CHEMBL4921	32.0	9.2	0.56	0.091
Pf3D7_07_v3-6-278772-270853	CHEMBL5039	96.7	249.0	0.00000000000000000004	0.000000000000000000000000000000000000000000000000000000000000000000000000021
Pf3D7_07_v3-6-278772-270853	CHEMBL1255141	70.5	216.1	0.000000000004	0.00000000000000000000000000000000000000000000000000000000000000017
Pf3D7_07_v3-6-284436-281038	CHEMBL2095203	32.3	118.2	0.73	0.00000000000000000000000000000000011
Pf3D7_07_v3-6-284436-281038	CHEMBL2010625	64.7	109.3	0.00000000004	0.000000000000000000000000000000051
Pf3D7_07_v3-6-284436-281038	CHEMBL2010624	65.1	109.3	0.00000000003	0.000000000000000000000000000000054
Pf3D7_07_v3-6-284436-281038	CHEMBL2552	75.1	108.7	0.00000000000004	0.000000000000000000000000000000083
Pf3D7_07_v3-6-284436-281038	CHEMBL2364103	54.3	100.7	0.00000008	0.000000000000000000000000000021
Pf3D7_07_v3-6-284436-281038	CHEMBL6068	42.7	76.7	0.0004	0.00000000000000000000036
Pf3D7_07_v3-6-284436-281038	CHEMBL3491	40.4	66.0	0.002	0.00000000000000000061
Pf3D7_07_v3-6-284436-281038	CHEMBL2111466	34.7	41.2	0.13	0.00000000002
Pf3D7_07_v3-6-33717-33418	CHEMBL1169598	28.9	14.9	0.14	0.0097
Pf3D7_07_v3-6-365622-365416	CHEMBL4406	28.5	7.2	0.074	3.7
Pf3D7_07_v3-6-375306-375046	CHEMBL1741205	29.3	13.4	0.086	0.038
Pf3D7_07_v3-6-41289-40291	CHEMBL1667675	32.3	11.7	0.12	0.037
Pf3D7_07_v3-6-41289-40291	CHEMBL2856	32.3	11.7	0.11	0.037
Pf3D7_07_v3-6-41289-40291	CHEMBL2529	32.3	11.5	0.12	0.042
Pf3D7_07_v3-6-41289-40291	CHEMBL5958	32.0	11.2	0.15	0.049
Pf3D7_07_v3-6-41289-40291	CHEMBL4090	32.0	11.2	0.15	0.05
Pf3D7_07_v3-6-41289-40291	CHEMBL5058	32.0	10.5	0.16	0.084
Pf3D7_07_v3-6-445884-442588	CHEMBL2213	33.9	11.8	0.21	0.018
Pf3D7_07_v3-6-445884-442588	CHEMBL2858	30.4	9.3	2.8	0.1
Pf3D7_07_v3-6-46029-45880	CHEMBL2608	25.8	10.8	0.39	0.3
Pf3D7_07_v3-6-476751-476320	CHEMBL6014	25.4	9.5	6.6	0.39
Pf3D7_07_v3-6-476751-476320	CHEMBL2721	25.0	7.4	7.0	1.6
Pf3D7_07_v3-6-476751-476320	CHEMBL1697661	25.4	6.2	6.5	3.8
Pf3D7_07_v3-6-492915-492763	CHEMBL3064	27.7	15.8	0.077	0.0078
Pf3D7_07_v3-6-50817-50668	CHEMBL2111411	29.3	14.9	0.019	0.014
Pf3D7_07_v3-6-514119-513952	CHEMBL6031	28.5	14.1	0.044	0.02
Pf3D7_07_v3-6-540561-540346	CHEMBL1792	31.6	13.4	0.008	0.035
Pf3D7_07_v3-6-540561-540346	CHEMBL2312	26.6	12.5	0.37	0.065
Pf3D7_07_v3-6-550020-549853	CHEMBL5127	24.3	163.0	1.5	0.00000000000000000000000000000000000000000000000036
Pf3D7_07_v3-6-558183-557983	CHEMBL4552	28.9	6.1	0.049	8.5
Pf3D7_07_v3-6-594216-594040	CHEMBL272	30.0	12.9	0.012	0.044
Pf3D7_07_v3-6-608007-607810	CHEMBL2111411	35.0	61.2	0.0003	0.000000000000000038
Pf3D7_07_v3-6-608007-607810	CHEMBL1795109	27.7	40.9	0.12	0.000000000084
Pf3D7_07_v3-6-63150-62197	CHEMBL1741191	29.6	11.3	0.91	0.053
Pf3D7_07_v3-6-63150-62197	CHEMBL5058	30.0	11.1	0.60	0.058
Pf3D7_07_v3-6-637878-627070	CHEMBL5704	33.5	7.0	1.0	0.14
Pf3D7_07_v3-6-659082-658867	CHEMBL2583	26.6	12.6	0.45	0.057
Pf3D7_07_v3-6-65988-65839	CHEMBL3038466	30.4	15.0	0.007	0.012
Pf3D7_07_v3-6-68247-68074	CHEMBL5340	29.3	12.3	0.024	0.079
Pf3D7_07_v3-6-686829-685342	CHEMBL1075285	68.2	168.8	0.0000000000008	0.000000000000000000000000000000000000000000000000083
Pf3D7_07_v3-6-686829-685342	CHEMBL4777	63.2	167.0	0.00000000002	0.0000000000000000000000000000000000000000000000003
Pf3D7_07_v3-6-686829-685342	CHEMBL261	69.3	165.2	0.0000000000004	0.000000000000000000000000000000000000000000000001
Pf3D7_07_v3-6-686829-685342	CHEMBL4420	65.1	161.2	0.00000000001	0.000000000000000000000000000000000000000000000017
Pf3D7_07_v3-6-686829-685342	CHEMBL3988	67.4	155.8	0.000000000004	0.00000000000000000000000000000000000000000000073
Pf3D7_07_v3-6-686829-685342	CHEMBL3548	67.4	149.9	0.000000000003	0.000000000000000000000000000000000000000000047
Pf3D7_07_v3-6-686829-685342	CHEMBL2031	63.9	146.8	0.00000000005	0.00000000000000000000000000000000000000000039
Pf3D7_07_v3-6-686829-685342	CHEMBL1781	65.5	141.0	0.00000000001	0.000000000000000000000000000000000000000023
